TICKET_ID,CUSTOMER_NAME,CUSTOMER_EMAIL,SERVICE_TYPE,REQUEST,CONTACT_PREFERENCE
TR0098,Nicole,Nicole.C@notebook.com,Cellular,"I traveled to Japan for two weeks and kept my data usage to a minimum. However, I was charged $90 in international fees. These charges were not communicated to me, and I request a detailed breakdown and a refund. Thank you for your prompt assistance.",Text Message
TR1024,Megan,Megan.C@clock.com,Cellular,I noticed a $90 fee for international roaming on my bill from my trip to Africa. These charges were unexpected and not clearly explained. Please issue a refund.,Text Message
TR1060,Gregory,Gregory.G@keyboard.com,Cellular,"After a recent trip to Europe, I was surprised to see an extra $85 in international fees on my bill. These charges were not communicated to me, and I believe they are unjustified. I request a detailed breakdown and a refund. Thank you for your assistance.",Text Message
TR1087,Carol,Carol.N@cup.com,Cellular,I traveled to Africa recently and was charged $110 for international roaming. These charges were not explained beforehand. Please refund this amount.,Text Message
TR1134,Jeffrey,Jeffrey.H@book.com,Cellular,"Dear customer service, I am requesting the closure of my account linked to this email effective June 2024. I have been satisfied with the service but will no longer need it. Please confirm receipt and let me know if there are any additional steps I need to take. Thank you for your attention.",Email
TR1189,Raymond,Raymond.P@book.com,Business Internet,"Dear customer service, I would like to add a new line to my cell phone plan. Can you please activate it within 7 days? Please let me know if any additional steps are necessary. Thank you for your assistance.",Text Message
TR1194,Patricia,Patricia.M@camera.com,Cellular,My data speeds have been significantly slower than usual. Please provide assistance in troubleshooting this problem. I have noticed a drastic drop in data speeds lately. Could you please look into this and provide a solution? Please address the slow data speeds I am experiencing. It is affecting my ability to work efficiently.,Email
TR120,Laura,Laura.S@bottle.com,Cellular,I have been billed $65 for international roaming from my trip to the UK. These charges were unexpected. I request a refund.,Text Message
TR121,Helen,Helen.P@monitor.com,Cellular,I noticed a $75 fee for international roaming on my bill from my trip to South America. These charges were unexpected and not clearly explained. Please issue a refund.,Text Message
TR1216,Justin,Justin.M@remote.com,Cellular,I traveled to Europe and was charged $125 for international voice calls. These charges were not communicated to me before my trip. Please refund these fees.,Email
TR1220,David,David.J@book.com,Cellular,I would like to add an additional line to my existing plan. Can you provide information on the process and any associated fees? Could you assist me in adding a new line to my account? I need it activated as soon as possible. I wish to add another line to my plan for a family member. Please confirm the steps required for this.,Text Message
TR1279,Robert,Robert.R@mouse.com,Cellular,I would like to request the addition of a new line to my existing cell phone plan. I kindly ask that the new line be activated within 14 days of this request. Please let me know if there are any additional steps or information needed to facilitate this process. Thank you for your prompt attention to this matter.,Text Message
TR1356,Matthew,Matthew.T@stapler.com,Cellular,I would like to close my account as I am no longer using the services. Please confirm the steps required to complete this process. Could you assist me in closing my account? I have found another provider that better meets my needs. I wish to close my account due to relocation. Can you guide me through the necessary steps?,Text Message
